DATE,GDPA
1929-01-01,104.6
1930-01-01,92.2
1931-01-01,77.4
1932-01-01,59.5
1933-01-01,57.2
1934-01-01,66.8
1935-01-01,74.3
1936-01-01,84.9
1937-01-01,93.0
1938-01-01,87.4
1939-01-01,93.5
1940-01-01,102.9
1941-01-01,129.4
1942-01-01,166.0
1943-01-01,203.1
1944-01-01,224.6
1945-01-01,228.2
1946-01-01,227.8
1947-01-01,249.9
1948-01-01,274.8
1949-01-01,272.8
1950-01-01,300.2
1951-01-01,347.3
1952-01-01,367.7
1953-01-01,389.7
1954-01-01,391.1
1955-01-01,426.2
1956-01-01,450.1
1957-01-01,474.9
1958-01-01,482.0
1959-01-01,522.5
1960-01-01,543.3
1961-01-01,563.3
1962-01-01,605.1
1963-01-01,638.6
1964-01-01,685.8
1965-01-01,743.7
1966-01-01,815.0
1967-01-01,861.7
1968-01-01,942.5
1969-01-01,1019.9
1970-01-01,1075.9
1971-01-01,1167.8
1972-01-01,1282.4
1973-01-01,1428.5
1974-01-01,1548.8
1975-01-01,1688.9
1976-01-01,1877.6
1977-01-01,2086.0
1978-01-01,2356.6
1979-01-01,2632.1
1980-01-01,2862.5
1981-01-01,3211.0
1982-01-01,3345.0
1983-01-01,3638.1
1984-01-01,4040.7
1985-01-01,4346.7
1986-01-01,4590.2
1987-01-01,4870.2
1988-01-01,5252.6
1989-01-01,5657.7
1990-01-01,5979.6
1991-01-01,6174.0
1992-01-01,6539.3
1993-01-01,6878.7
1994-01-01,7308.8
1995-01-01,7664.1
1996-01-01,8100.2
1997-01-01,8608.5
1998-01-01,9089.2
1999-01-01,9660.6
2000-01-01,10284.8
2001-01-01,10621.8
2002-01-01,10977.5
2003-01-01,11510.7
2004-01-01,12274.9
2005-01-01,13093.7
2006-01-01,13855.9
2007-01-01,14477.6
2008-01-01,14718.6
2009-01-01,14418.7
2010-01-01,14964.4
2011-01-01,15517.9
2012-01-01,16155.3
2013-01-01,16691.5
2014-01-01,17393.1
2015-01-01,18036.6
2016-01-01,18569.1
